CustomerID|CustomerName|Address1|Address2|City|State|PostalCode
"Apollo Health Care|Ted Ruff|Pola Tenenbaum Center for Renal Care|430 Beach 68th St"|Pola Tenenbaum Center for Renal Care|430 Beach 68th St|||NY|11692
"Applegate Manor|Ted Ruff|Applegate Manor|400 Ohio St"|Applegate Manor|400 Ohio St|||NY|14103
"Appleridge Senior Living|Lisa Witt|Appleridge Senior Living|168 Miller St"|Appleridge Senior Living|168 Miller St|||NY|14845
"ARC of Livingston - Wyoming|Lisa Witt|ARC of Livingston - Wyoming|18 Main St"|ARC of Livingston - Wyoming|18 Main St|||NY|14510
"ARC of Livingston - Wyoming|Lisa Witt|Kidstart|5871 Groveland Rd"|Kidstart|5871 Groveland Rd|||NY|14510
"ARC of Monroe|Lisa Witt|ARC of Monroe|2060 Brighton Henrietta Townline Rd"|ARC of Monroe|2060 Brighton Henrietta Townline Rd|||NY|14623
"Argo Senior Living at Harverill|Shaina Pineiro|Argo Senior Living at Harverill|2939 Haverhill Road"|Argo Senior Living at Harverill|2939 Haverhill Road|||FL|33417
"Arise Inc|Lisa Witt|Arise Inc|635 James St - Ste 110"|Arise Inc|635 James St - Ste 110|||NY|13203
"Arnot Ogden Medical Center|Tony DelVecchio|Arnot Ogden Medical Center|600 Roe Ave"|Arnot Ogden Medical Center|600 Roe Ave|||NY|14905
"Ashe Assisted Living and Memory Care|Shaina Pineiro|Ashe Assisted Living and Memory Care|182 Chattyrob Lane"|Ashe Assisted Living and Memory Care|182 Chattyrob Lane|||NC|28694
"Ashe Assisted Living and Memory Care|Shaina Pineiro|Ashe Services For Aging|180 Chattyrob Land"|Ashe Services For Aging|180 Chattyrob Land|||NC|289694
"Ashton Place|Lisa Witt|Ashton Place|190 Ashton Ct"|Ashton Place|190 Ashton Ct|||NY|14432
"Aspen Dental Management|Ted Ruff|Aspen Dental Management|281 Sanders Creek Pkwy"|Aspen Dental Management|281 Sanders Creek Pkwy|||NY|13057-1307
"Aspen Dental Management|Ted Ruff|Aspen Dental of Aberdeen|3307 7th Avenue Southeast, Ste 108"|Aspen Dental of Aberdeen|3307 7th Avenue Southeast, Ste 108|||SD|57401
"Aspire of WNY|Ted Ruff|Aspire of WNY|2356 N Forest Rd"|Aspire of WNY|2356 N Forest Rd|||NY|14068
"Aspire of WNY--Adult Healthcare Center|Ted Ruff|Aspire of WNY--Adult Healthcare Center|2356 N Forest Rd"|Aspire of WNY--Adult Healthcare Center|2356 N Forest Rd|||NY|14068
"ASPIRE OF WNY-CHILDREN'S SVCS|Ted Ruff|ASPIRE OF WNY-CHILDREN'S SVCS|4635 UNION RD"|ASPIRE OF WNY-CHILDREN'S SVCS|4635 UNION RD|||NY|14225
"Associated Healthcare Systems|Lisa Witt|Associated Healthcare Systems|85 Woodridge Dr"|Associated Healthcare Systems|85 Woodridge Dr|||NY|14228
"Associated Medical Professionals - Metropolitan Dr|Ted Ruff|Associated Medical Professionals - Metropolitan Dr|100 Metropolitan Drive"|Associated Medical Professionals - Metropolitan Dr|100 Metropolitan Drive|||NY|13088
"Associated Medical Professionals - Metropolitan Dr|Ted Ruff|AMP Radiation Oncology 60|1226 East Water Street"|AMP Radiation Oncology 60|1226 East Water Street|||NY|13210
"Association of Independent Community Health Center|Ted Ruff|Jordan at CCIA|120 N Main St"|Jordan at CCIA|120 N Main St|||NY|14424
"Association of Independent Community Health Center|Ted Ruff|Anthony L Jordan Corp - Brown Square|322 Lake Ave"|Anthony L Jordan Corp - Brown Square|322 Lake Ave|||NY|14608
"Association of Independent Community Health Center|Ted Ruff|Association of Independent Community Health Center|300 West Ave"|Association of Independent Community Health Center|300 West Ave|||NY|14420
"Association of Independent Community Health Center|Ted Ruff|Anthony L Jordan Health Corp Administration|214C Lake Avenue"|Anthony L Jordan Health Corp Administration|214C Lake Avenue|||NY|14608
"Association of Independent Community Health Center|Ted Ruff|Oak Orchard Community Health - Lyndonville|77 S Main St"|Oak Orchard Community Health - Lyndonville|77 S Main St|||NY|14098
"Association of Independent Community Health Center|Ted Ruff|Oak Orchard Community Health - Albion|301 West Ave"|Oak Orchard Community Health - Albion|301 West Ave|||NY|14411
"Association of Independent Community Health Center|Ted Ruff|Oak Orchard Community Health - Warsaw|81 S Main St"|Oak Orchard Community Health - Warsaw|81 S Main St|||NY|14569
"Association of Independent Community Health Center|Ted Ruff|Oak Orchard Health|20 Elm Street
Lower Level"|Oak Orchard Health|"20 Elm Street
Lower Level"|||NY|14843
"Association of Independent Community Health Center|Ted Ruff|Oak Orchard Health|300 West Ave"|Oak Orchard Health|300 West Ave|||NY|14420
"At Home Care, Inc.|Lisa Witt|At Home Care, Inc.|25 Elm Street"|At Home Care, Inc.|25 Elm Street|||NY|13820
"AUBURN MEMORIAL HOSPITAL|Migration User|AUBURN MEMORIAL HOSPITAL|17 LANSING ST"|AUBURN MEMORIAL HOSPITAL|17 LANSING ST|||NY|13021
"Autumn Woods HCF|Ted Ruff|Autumn Woods HCF|29800 Hoover Rd"|Autumn Woods HCF|29800 Hoover Rd|||MI|48093
"Baker Victory Services School|Ted Ruff|Our Lady of Victory Homes|780 Ridge Rd"|Our Lady of Victory Homes|780 Ridge Rd|||NY|14218
"Baker Victory Services School|Ted Ruff|Baker Victory Services NH|777 Ridge Rd"|Baker Victory Services NH|777 Ridge Rd|||NY|14218
"Baker Victory Services School|Ted Ruff|Baker Victory|Gateway Building
3556 Lakeshore Road"|Baker Victory|"Gateway Building
3556 Lakeshore Road"|||NY|14219
"Baron Hospital Medical Supply|Lisa Witt|Baron Hospital Medical Supply|34 Franklin Ave"|Baron Hospital Medical Supply|34 Franklin Ave|||NY|11205
"Barton's Adult Home|Lisa Witt|Barton's Adult Home|301 Grove St"|Barton's Adult Home|301 Grove St|||NY|14905
"Bay View Healthcare|Shaina Pineiro|Bay View Healthcare|161 Marine Street"|Bay View Healthcare|161 Marine Street|||FL|32084
"Baywinde Senior Living|Lisa Witt|Baywinde Senior Living|200 Kidd Castle Way"|Baywinde Senior Living|200 Kidd Castle Way|||NY|14580
"Beach Terrace Care Center|Lisa Witt|Beach Terrace Care Center|640 W Broadway"|Beach Terrace Care Center|640 W Broadway|||NY|11561
"Beacon Pointe Memory Care Community|Lisa Witt|Beacon Pointe Memory Care Community|1 Emma Ln"|Beacon Pointe Memory Care Community|1 Emma Ln|||NY|12065
"Be Clinical, Inc.|Lisa Witt|Be Clinical, Inc.|1081 Market Place
Ste. 400"|Be Clinical, Inc.|"1081 Market Place
Ste. 400"|||CA|94583
"Beechwood Healthcare Center - CC|Ted Ruff|Beechwood Healthcare Center - CC|2235 Millersport Hwy- West Village"|Beechwood Healthcare Center - CC|2235 Millersport Hwy- West Village|||NY|14068
"Beechwood Healthcare Center - CC|Ted Ruff|Blocher Homes Inc - The|135 Evans Rd"|Blocher Homes Inc - The|135 Evans Rd|||NY|14221
"Beechwood Healthcare Center - CC|Ted Ruff|Asbury Pointe - Stahl Road|50 Stahl Rd"|Asbury Pointe - Stahl Road|50 Stahl Rd|||NY|14068
"Beechwood Healthcare Center - NH|Ted Ruff|Beechwood Healthcare Center - NH|100 Stahl Rd East Village"|Beechwood Healthcare Center - NH|100 Stahl Rd East Village|||NY|14068
"Behavioral Wellness and Recovery|John Coyle|Behavioral Wellness and Recovery|1301 Wrights Lane East
Suite 103"|Behavioral Wellness and Recovery|"1301 Wrights Lane East
Suite 103"|||PA|19380
"Bertrand Chaffee Hospital|Ted Ruff|Jennie B Richmond Chaffee Nursing Home|222 E Main St"|Jennie B Richmond Chaffee Nursing Home|222 E Main St|||NY|14141
"Bertrand Chaffee Hospital|Tony DelVecchio|Bertrand Chaffee Hospital|222-224 E Main St"|Bertrand Chaffee Hospital|222-224 E Main St|||NY|14141
"Bethamy Retirement Center|Shaina Pineiro|Bethamy Retirement Center|909 N. Salisbury Ave."|Bethamy Retirement Center|909 N. Salisbury Ave.|||NC|28159
"Bethany Village Retirement Home|Ted Ruff|Bethany Village Retirement Home - 15100|3005 Watkins Rd"|Bethany Village Retirement Home - 15100|3005 Watkins Rd|||NY|14845
"Bethany Village Retirement Home|Lisa Witt|Bethany Village Retirement Home|3005 Watkins Rd"|Bethany Village Retirement Home|3005 Watkins Rd|||NY|14845
"Betsy Ross Nursing Home & Rehab|Lisa Witt|Betsy Ross Nursing Home & Rehab|1 Elsie St"|Betsy Ross Nursing Home & Rehab|1 Elsie St|||NY|13440
"Better Living Now|Lisa Witt|Better Living Now|185 Oser ave"|Better Living Now|185 Oser ave|||NY|11788
"Bixby Home Adult Care Center|Lisa Witt|Bixby Home Adult Care Center|8342 N Main St"|Bixby Home Adult Care Center|8342 N Main St|||NY|14847
"Bloomfield Manor Nursing Home|Lisa Witt|Bloomfield Manor Nursing Home|3151 county Road CH"|Bloomfield Manor Nursing Home|3151 county Road CH|||WI|53533
"Blossom View Nursing Home|Ted Ruff|Blossom View Nursing Home|6884 Maple Ave"|Blossom View Nursing Home|6884 Maple Ave|||NY|14551
"Bluegrass Health Partners|John Coyle|Bluegrass Health Partners|300 Provider Court"|Bluegrass Health Partners|300 Provider Court|||KY|40475
"Blueline Sales, Inc.|John Coyle|Blueline Sales, Inc.|58 Joseph Avenue"|Blueline Sales, Inc.|58 Joseph Avenue|||NY|10314
"Boev Clinic|Lisa Witt|Boev Clinic|1445 Portland Avenue"|Boev Clinic|1445 Portland Avenue|||NY|14621
"Boev Clinic|Lisa Witt|Boev Clinic|980 Westfall Road, Ste 110"|Boev Clinic|980 Westfall Road, Ste 110|||NY|14618
"Bradford Ecumenical Home|Ted Ruff|Bradford Ecumenical Home|100 Saint Francis Drive"|Bradford Ecumenical Home|100 Saint Francis Drive|||PA|16701
"Bradford Ecumenical Home|Ted Ruff|Chapel Ridge|100 Saint Francis Drive"|Chapel Ridge|100 Saint Francis Drive|||PA|16701
"Bradford Heights Health and Rehab Center|John Coyle|Bradford Heights Health and Rehab Center|950 Highpoint Drive"|Bradford Heights Health and Rehab Center|950 Highpoint Drive|||KY|42240
"Brevard Health Alliance|Shaina Pineiro|Brevard Health Alliance|17 Silver Palm Avenue"|Brevard Health Alliance|17 Silver Palm Avenue|||FL|32901
"Brevard Health Alliance|Shaina Pineiro|Brevard Health Alliance|775 Malabar Road, Ste 105"|Brevard Health Alliance|775 Malabar Road, Ste 105|||FL|32950
"Brevard Health Alliance|Shaina Pineiro|Brevard Health Alliance|2120 Sarno Road"|Brevard Health Alliance|2120 Sarno Road|||FL|32935
"Brevard Health Alliance|Shaina Pineiro|Brevard Health Alliance|5270 Babcock Street Northeast"|Brevard Health Alliance|5270 Babcock Street Northeast|||FL|32905
"Brevard Health Alliance|Shaina Pineiro|Brevard Health Alliance|815 East Fee Avenue"|Brevard Health Alliance|815 East Fee Avenue|||FL|32901
"Brevard Health Alliance|Shaina Pineiro|Brevard Health Alliance|7227 N Highway 1"|Brevard Health Alliance|7227 N Highway 1|||FL|32927
"Brevard Health Alliance|Shaina Pineiro|Brevard Health Alliance|500 North Washington Avenue, Suite 105"|Brevard Health Alliance|500 North Washington Avenue, Suite 105|||FL|32796
"Brevard Health Alliance|Shaina Pineiro|Brevard Health Alliance|220 Barton Boulevard"|Brevard Health Alliance|220 Barton Boulevard|||FL|32955
"Briarwood Manor|Ted Ruff|Briarwood Manor|1001 Lincoln Ave"|Briarwood Manor|1001 Lincoln Ave|||NY|14094
"Bristol Home|Ted Ruff|Bristol Village Assisted Living|8455 Clarence Center Rd"|Bristol Village Assisted Living|8455 Clarence Center Rd|||NY|14032
"Bristol Home|Ted Ruff|Bristol Home|1500 Main St"|Bristol Home|1500 Main St|||NY|14209
"Brompton Heights|Ted Ruff|Brompton Heights|275 Brompton Rd"|Brompton Heights|275 Brompton Rd|||NY|14221
"Brookdale Williamsville|Lisa Witt|Brookdale Williamsville|6076 Main St"|Brookdale Williamsville|6076 Main St|||NY|14221
"Brookridge Assisted Living|Shaina Pineiro|Brookridge Assisted Living|312 Lynch Street"|Brookridge Assisted Living|312 Lynch Street|||NC|27502
"Brooks Memorial Hospital|Tony DelVecchio|Brooks Memorial Hospital|529 Central Ave"|Brooks Memorial Hospital|529 Central Ave|||NY|14048
"Broome Cty Willow Point Nursing Home|Lisa Witt|Broome Cty Willow Point Nursing Home|3700 Old Vestal Rd"|Broome Cty Willow Point Nursing Home|3700 Old Vestal Rd|||NY|13850
"Broome Developmental Services|Lisa Witt|Broome Developmental Services|249 Glenwood Rd"|Broome Developmental Services|249 Glenwood Rd|||NY|13905
"Brothers of Mercy Sacred Heart Home|Ted Ruff|Brothers of Mercy Nursing & Rehab Center|10570 Bergtold Rd"|Brothers of Mercy Nursing & Rehab Center|10570 Bergtold Rd|||NY|14031
"Brothers of Mercy Sacred Heart Home|Ted Ruff|Brothers of Mercy Sacred Heart Home|4520 Ransom Rd"|Brothers of Mercy Sacred Heart Home|4520 Ransom Rd|||NY|14031
"Brothers of Mercy Sacred Heart Home|Ted Ruff|Montabaur Heights|4530 Ransom Road"|Montabaur Heights|4530 Ransom Road|||NY|14031
"Brush Hill Care Center|Lisa Witt|Brush Hill Care Center|1200 Brush Hill Road"|Brush Hill Care Center|1200 Brush Hill Road|||MA|02186
"BryLin Hospitals|Tony DelVecchio|BryLin Hospital - Alden|11438 Genesee St"|BryLin Hospital - Alden|11438 Genesee St|||NY|14004
"BryLin Hospitals|Tony DelVecchio|BryLin Hospitals|1263 Delaware Ave"|BryLin Hospitals|1263 Delaware Ave|||NY|14209
"Buffalo Hearing & Speech Center|Ted Ruff|Buffalo Hearing & Speech Center|50 E North St"|Buffalo Hearing & Speech Center|50 E North St|||NY|14203
"Buffalo Pharmacies|Ted Ruff|Buffalo Pharmacies|20 Lawrence Bell Dr - Ste 100"|Buffalo Pharmacies|20 Lawrence Bell Dr - Ste 100|||NY|14221
"BUFFALO PSYCHIATRIC CENTER|Ted Ruff|BUFFALO PSYCHIATRIC CENTER|400 FOREST AVE"|BUFFALO PSYCHIATRIC CENTER|400 FOREST AVE|||NY|14213
"Buffalo Rehab Group|Ted Ruff|Buffalo Rehab Group|8750 Transit Road"|Buffalo Rehab Group|8750 Transit Road|||NY|14051
"Buffalo Rehab Group|Ted Ruff|Buffalo Rehab Group - East Aurora|48 Douglas Drive"|Buffalo Rehab Group - East Aurora|48 Douglas Drive|||NY|14052
"Buffalo Rehab Group|Ted Ruff|Buffalo Rehab Group - Hamburg|4855 Camp Road, Suite 200"|Buffalo Rehab Group - Hamburg|4855 Camp Road, Suite 200|||NY|14075
"Buffalo Rehab Group|Ted Ruff|Buffalo Rehab Group - Boulevard|350 Greenhaven Terrace"|Buffalo Rehab Group - Boulevard|350 Greenhaven Terrace|||NY|14150
"Buffalo Rehab Group|Ted Ruff|Buffalo Rehab Group - West Seneca|2100 Union Road"|Buffalo Rehab Group - West Seneca|2100 Union Road|||NY|14224
"Buffalo Rehab Group|Ted Ruff|Buffalo Rehab Group - Williamsville|150 Tech Drive"|Buffalo Rehab Group - Williamsville|150 Tech Drive|||NY|14221
"Cambridge Nursing and Rehab|Lisa Witt|Cambridge Nursing and Rehab|9615 Knox Ave"|Cambridge Nursing and Rehab|9615 Knox Ave|||IL|60076-1219
"Cambridge Nursing and Rehab|Lisa Witt|Skokie Meadows Nursing Home|4600 Golf Road"|Skokie Meadows Nursing Home|4600 Golf Road|||IL|60076
"Camillus Ridge Terrace|Lisa Witt|Camillus Ridge Terrace|2453 W Genesee Tnpk"|Camillus Ridge Terrace|2453 W Genesee Tnpk|||NY|13031
"Campo Felice|Shaina Pineiro|Campo Felice|25 Edwards Drive"|Campo Felice|25 Edwards Drive|||FL|33901
"Capital Region OB/GYN|Lisa Witt|Capital Region OB/GYN|711 Troy Schenectady Road
Ste. 205"|Capital Region OB/GYN|"711 Troy Schenectady Road
Ste. 205"|||NY|12110
"Cardiopulmonary Services, LLC|John Coyle|Cardiopulmonary Services, LLC|4805 Garrison BLVD
Suite 200"|Cardiopulmonary Services, LLC|"4805 Garrison BLVD
Suite 200"|||mD|21215
"Care 4 U Medical Services|Lisa Witt|Care 4 U Medical Services|216 Christian Lane"|Care 4 U Medical Services|216 Christian Lane|||CT|06037
"Care 4 U Medical Services|Lisa Witt|Care 4 U Medical Services - Hartford|751 Maple Ave"|Care 4 U Medical Services - Hartford|751 Maple Ave|||CT|06114
"Caring Hospice Services|John Coyle|Caring Hospice Services|525 Highway 70
Ste B15"|Caring Hospice Services|"525 Highway 70
Ste B15"|||NJ|08701-5847
"Caring Hospice Services|John Coyle|Caring Hospice of South Jersey|133 Gaither Drive
Ste Q"|Caring Hospice of South Jersey|"133 Gaither Drive
Ste Q"|||NJ|13039
"Caring Hospice Services|John Coyle|Caring Hospice of Central Jersey|1090 King Georges Post Road
Ste 703"|Caring Hospice of Central Jersey|"1090 King Georges Post Road
Ste 703"|||NJ|08837
"Caring Hospice Services|John Coyle|Caring Hospice Services of New York|3039 Avenue U"|Caring Hospice Services of New York|3039 Avenue U|||NY|11229-5126
"Caring Hospice Services|John Coyle|Caring Hospice Services of Connecticut|45 Church Street
Ste 203"|Caring Hospice Services of Connecticut|"45 Church Street
Ste 203"|||CT|06906-1733
"Caring Hospice Services|John Coyle|Caring Hospice Services of Western PA|118 Fox Plan Rd
Ste 1"|Caring Hospice Services of Western PA|"118 Fox Plan Rd
Ste 1"|||PA|15146-2762
"Caring Hospice Services|John Coyle|Caring Hospice Services of Ohio|435 Rockside Road
Ste 435"|Caring Hospice Services of Ohio|"435 Rockside Road
Ste 435"|||OH|44131
"Caring Hospice Services|John Coyle|Caring Hospice of Michigan|42213 Ann Arbor Road East"|Caring Hospice of Michigan|42213 Ann Arbor Road East|||MI|48170-4364
"Caring Hospice Services|John Coyle|Caring Hospice Services|400 Commerce Drive"|Caring Hospice Services|400 Commerce Drive|||PA|19034-
"Caring Hospice Services|John Coyle|Caring Hospice Services of Central PA|101 Good Drive"|Caring Hospice Services of Central PA|101 Good Drive|||PA|17603
